1500, 0
1501, 0
1502, 0
1503, 0
1504, 0
1505, 0
1506, 0
1507, 0
1508, 0
1509, 0
1510, 0
1511, 0
1512, 0
1513, 0
1514, 0
1515, 1
1516, 0
1517, 1
1518, 1
1519, 0
1520, 0
1521, 0
1522, 0
1523, 1
1524, 0
1525, 0
1526, 0
1527, 0
1528, 0
1529, 0
1530, 0
1531, 0
1532, 0
1533, 0
1534, 2
1535, 0
1536, 0
1537, 0
1538, 1
1539, 1
1540, 1
1541, 0
1542, 3
1543, 3
1544, 8
1545, 5
1546, 48
1547, 74
1548, 87
1549, 50
1550, 125
1551, 46
1552, 122
1553, 33
1554, 112
1555, 84
1556, 63
1557, 31
1558, 45
1559, 7
1560, 24
1561, 1
1562, 6
1563, 4
1564, 2
1565, 0
1566, 0
1567, 0
1568, 2
1569, 0
1570, 1
1571, 0
1572, 0
1573, 0
1574, 0
1575, 0
1576, 2
1577, 0
1578, 0
1579, 0
1580, 0
1581, 0
1582, 0
1583, 0
1584, 0
1585, 0
1586, 0
1587, 0
1588, 0
1589, 0
1590, 0
1591, 0
1592, 0
1593, 0
1594, 0
1595, 0
1596, 0
1597, 0
1598, 0
1599, 0
